StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,reason_mistake,mistake_type,mistake_type_21_TEXT,mistake_cause,mistake_cause_16_TEXT,stress,workflow,experience,comment,email
2023-01-12 14:12:30,2023-01-12 14:14:51,IP Address,100,141,True,2023-01-12 14:14:51,R_4oXF9Rjwmpc89cD,anonymous,EN,Yes,it was the main reason,"Other, please specify:",eu,"Inattention (e.g. accident, accidental mistakes, being distracted, copy and paste error, lapse of concentration)",NA,1,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,l0qLl@mA23W,a9Mem@YE55I
2023-01-07 19:12:30,2023-01-07 19:16:06,IP Address,99,216,False,2023-01-07 19:16:06,R_qJmYozHBi0yS3C6,anonymous,EN,Yes,it was the main reason,"Data transfer error (e.g. data insertion mistake, transcription error, incomplete data transfer, mistake in transferring data between formats, importing data from survey platform)",NA,"Lack of knowledge/experience (e.g. being unaware of the potentials of the negative outcomes, inexperience, insufficient experience, insufficient skills, lack of experience, lack of routine)",NA,4,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,f0Cvv@jKVkc
2023-01-08 17:12:30,2023-01-08 17:16:21,Survey Preview,98,231,False,2023-01-08 17:16:21,R_0vByLv8qldoVNt4,preview,EN,Yes,partially,"Version control error (e.g. failure to locate original data, overwriting data, overwriting files, using the wrong version of code, using the wrong version of data)",NA,"Miscommunication (e.g. lack of communication, lack of consultation, misinformation, misinformed by third party, poor collaboration)",NA,3,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,JUG9F@tz3MD,cDDOw@xjjX0
2023-01-15 03:12:30,2023-01-15 03:17:46,IP Address,98,316,False,2023-01-15 03:17:46,R_4ixCRCvYNAyNUDK,preview,EN,Yes,partially,"Incorrect data processing/analysis (e.g. calculating wrong statistic, mistake in data analysis, incorrect application of formulas, formula error, statistical error)",NA,"Miscommunication (e.g. lack of communication, lack of consultation, misinformation, misinformed by third party, poor collaboration)",NA,1,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,bpkSX@X0Mbp
2023-01-21 18:12:30,2023-01-21 18:17:32,Survey Preview,100,302,True,2023-01-21 18:17:32,R_ekCHCZAwV2tCBZa,anonymous,EN,Yes,it was the main reason,"Technical/infrastructural problem (e.g. recording device not recording properly, failure of data collection software, technical failure, software error, technical issue with computer in recording)",NA,"Time pressure (e.g. being in a rush, haste, insufficient time spent on the project, overworking, too big workload)",NA,2,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,MPZai@OuxEi
2023-01-25 01:12:30,2023-01-25 01:17:01,Survey Preview,99,271,False,2023-01-25 01:17:01,R_yFn8FrcHewSFWk9,preview,EN,Yes,partially,"Other, please specify:",ipsum faucibus orci enim,"Other, please specify:",quis,6 extreme stress,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,ubdwq@Zo7lc
2023-01-22 10:12:30,2023-01-22 10:17:12,IP Address,98,282,False,2023-01-22 10:17:12,R_rdy9CqW7pqJtisK,preview,EN,No,partially,"Incorrect data processing/analysis (e.g. calculating wrong statistic, mistake in data analysis, incorrect application of formulas, formula error, statistical error)",NA,"Lack of knowledge/experience (e.g. being unaware of the potentials of the negative outcomes, inexperience, insufficient experience, insufficient skills, lack of experience, lack of routine)",NA,no stress at all 0,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,94Smj@oAwI9
2023-01-06 12:12:30,2023-01-06 12:16:41,Survey Preview,99,251,False,2023-01-06 12:16:41,R_z710Dh2MVx68cJU,preview,EN,Yes,partially,"Incorrect data processing/analysis (e.g. calculating wrong statistic, mistake in data analysis, incorrect application of formulas, formula error, statistical error)",NA,"Technical issue (e.g. computer issue, equipment failure, software error, technical malfunction, wrong equipment settings)",NA,5,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,iKmOg@mB18g
2023-01-20 15:12:30,2023-01-20 15:17:02,IP Address,100,272,True,2023-01-20 15:17:02,R_m0OfguuGz4WsCa8,preview,EN,Yes,it was the main reason,"Participant allocation error (e.g. assigning participant to wrong group, error in randomization of the conditions, experimental condition incorrectly assigned, mistake in scheduling data collection, subject allocation mistake)",NA,"Bad or lack of planning (e.g. error in planning, insufficient planning, lack of sufficient planning, lack of systematicity, short-sightedness)",NA,3,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,vYbCX@BSJ7B
2023-01-11 05:12:30,2023-01-11 05:17:18,IP Address,100,288,True,2023-01-11 05:17:18,R_vIGKD7riwv6Kj9h,anonymous,EN,Yes,it was the main reason,"Sharing confidential data (e.g. compromising participants’ anonimity, failure to anonymize participants, not anonymizing data, privacy breach, recording data without ethical permission)",NA,"Bad or lack of planning (e.g. error in planning, insufficient planning, lack of sufficient planning, lack of systematicity, short-sightedness)",NA,6 extreme stress,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,m5YAq@apvQ9,jPPTQ@8panl
2023-01-05 06:12:30,2023-01-05 06:17:30,Survey Preview,98,300,False,2023-01-05 06:17:30,R_6cmZVH1JR5VzCu6,preview,EN,Yes,partially,"Ambiguous naming/defining of data (e.g. ambiguous naming, inconsistent identifier, incorrect labeling,  non- transparent naming, poor labeling of variables)",NA,"Overconfidence (e.g. being too ambitious, being too confident, failure to anticipate the difficulty of interpreting datafiles, overreliance, too high expectations)",NA,4,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,urJGk@kun8H
2023-01-12 19:12:30,2023-01-12 19:19:02,IP Address,100,392,True,2023-01-12 19:19:02,R_bKrEIFi0QRepasH,anonymous,EN,Yes,partially,Project management error (error in time management; miscommunication; not showing up for data collection; team member left the lab),NA,"Technical issue (e.g. computer issue, equipment failure, software error, technical malfunction, wrong equipment settings)",NA,6 extreme stress,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,Cm784@3W6kj
2023-01-04 13:12:30,2023-01-04 13:15:45,Survey Preview,99,195,False,2023-01-04 13:15:45,R_ynbo9GgJrgy7nYv,anonymous,EN,Yes,it was the main reason,"Data or file organization error (e.g. inconsistent file structure, mistake in data structure, storing data in wrong format, misaligned rows in data, coding manual hard to decipher)",NA,"Too high complexity (e.g. difficult task, difficulty in file management, lack of easy to use tools, too complex)",NA,6 extreme stress,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,sWqR9@RxUFG
2023-01-10 13:12:30,2023-01-10 13:18:39,Survey Preview,100,369,True,2023-01-10 13:18:39,R_HfB6DC3yFlOFnE9,preview,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,XeK3R@qZLXt
2023-01-16 12:12:30,2023-01-16 12:17:45,IP Address,100,315,True,2023-01-16 12:17:45,R_BwYjOEAzt4Vtm6L,preview,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,UAXxJ@oJB2F
2023-01-13 12:12:30,2023-01-13 12:15:16,IP Address,95,166,False,2023-01-13 12:15:16,R_jZXqHkBpb2VZiQi,preview,EN,Yes,it was the main reason,"Data selection/merging error (e.g. selecting wrong sample for analysis, analyzing the wrong variable, data integration error, subsetting error, including people who do not belong to the sample)",NA,"Other, please specify:",nulla libero,1,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,L9I1z@n5rYQ
2023-01-30 09:12:30,2023-01-30 09:16:41,IP Address,99,251,False,2023-01-30 09:16:41,R_FuHwx8fwRSpgIcY,preview,EN,Yes,it was the main reason,"Oversight in study design or measurement (e.g. ambiguous wording of items, failure to include survey items, inconsistent scoring, incorrect wording of question/item, leaving out questionnaire items)",NA,"Project management issue (e.g. disorganization, error in team management, lack of clear job responsibilities, lack of coordination, lack of supervision)",NA,2,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,4Y4DY@T99Uw
2023-01-23 19:12:30,2023-01-23 19:16:18,IP Address,93,228,False,2023-01-23 19:16:18,R_XvJMLDwIz9qbpcS,preview,EN,Yes,partially,"Programming error (e.g. analysis code error, error in scipt, mistake in ecperiment code, mistake in programming the data collection code, program coding error)",NA,NA,NA,NA,NA,NA,NA,KBGW1@n6XZc
2023-01-20 00:12:30,2023-01-20 00:15:57,Survey Preview,100,207,True,2023-01-20 00:15:57,R_n7xXvX6YyUYvLwy,preview,EN,Yes,it was the main reason,"Technical/infrastructural problem (e.g. recording device not recording properly, failure of data collection software, technical failure, software error, technical issue with computer in recording)",NA,"Bad skill management (e.g. improper training, inadequate training, insufficient training, insufficient training of coders, lack of training)",NA,5,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,i7JwV@8rCvs
2023-01-18 18:12:30,2023-01-18 18:15:17,Survey Preview,100,167,True,2023-01-18 18:15:17,R_qfExYTvEk1FrNB9,anonymous,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,8mS8s@KJPTM
2023-01-20 00:12:30,2023-01-20 00:16:27,Survey Preview,97,237,False,2023-01-20 00:16:27,R_ooXIgqtuJpJLP8r,anonymous,EN,Yes,partially,"Version control error (e.g. failure to locate original data, overwriting data, overwriting files, using the wrong version of code, using the wrong version of data)",NA,"Technical issue (e.g. computer issue, equipment failure, software error, technical malfunction, wrong equipment settings)",NA,3,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,S3ByK@AU1L1
2023-01-10 12:12:30,2023-01-10 12:16:31,IP Address,96,241,False,2023-01-10 12:16:31,R_DJXQMmrmVm0Womy,anonymous,EN,Yes,partially,"Data input error (e.g. data entry error, error in recording data, failure to record responses, mistake in data recording, value input error)",NA,Risking human error (e.g. experimenter error; lack of automatization; manual task handling instead of code; manually doing a task; multitasking),NA,1,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,rjJNK@5kb92
2023-01-12 13:12:30,2023-01-12 13:16:38,Survey Preview,100,248,True,2023-01-12 13:16:38,R_bJGdxO17nJdRVLG,preview,EN,Yes,partially,"Incorrect data processing/analysis (e.g. calculating wrong statistic, mistake in data analysis, incorrect application of formulas, formula error, statistical error)",NA,NA,NA,NA,NA,NA,NA,TR3Ks@vO9JJ
2023-01-11 15:12:30,2023-01-11 15:14:42,Survey Preview,97,132,False,2023-01-11 15:14:42,R_cO5xqSBLQBgJnS3,preview,EN,Yes,it was the main reason,"Data selection/merging error (e.g. selecting wrong sample for analysis, analyzing the wrong variable, data integration error, subsetting error, including people who do not belong to the sample)",NA,"Overconfidence (e.g. being too ambitious, being too confident, failure to anticipate the difficulty of interpreting datafiles, overreliance, too high expectations)",NA,1,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,7fdOH@9qdmy,6yU5D@vIetz
2023-01-15 07:12:30,2023-01-15 07:17:30,Survey Preview,100,300,True,2023-01-15 07:17:30,R_5AsPX5vaqPvy53i,preview,EN,Yes,it was the main reason,"Other, please specify:",a vivamus.,"Other, please specify:",et,4,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,QO8HZ@vMqik
2023-01-12 13:12:30,2023-01-12 13:17:50,Survey Preview,100,320,True,2023-01-12 13:17:50,R_OM6TBHva4Xu1Lnk,preview,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,v09Of@TXJoI
2023-01-15 16:12:30,2023-01-15 16:17:53,Survey Preview,100,323,True,2023-01-15 16:17:53,R_Y8Ao8rF43qYOvvZ,preview,EN,Yes,it was the main reason,"Data transfer error (e.g. data insertion mistake, transcription error, incomplete data transfer, mistake in transferring data between formats, importing data from survey platform)",NA,"Inattention (e.g. accident, accidental mistakes, being distracted, copy and paste error, lapse of concentration)",NA,5,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,P5nM2@2xNnu
2023-01-31 15:12:30,2023-01-31 15:17:52,Survey Preview,100,322,True,2023-01-31 15:17:52,R_Hha4F3fBrllB8it,preview,EN,Yes,it was the main reason,"Insufficient or incorrect documentation (e.g. lack of documentation, poor documentation, not recorded metadata, ambiguous value coding protocol, data logging mistake)",NA,"Other, please specify:",elit.,no stress at all 0,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,RZ4Aj@TgwUT
2023-01-17 13:12:30,2023-01-17 13:17:13,Survey Preview,100,283,True,2023-01-17 13:17:13,R_PJeb9uAdSKPf2Kh,preview,EN,Yes,it was the main reason,Project management error (error in time management; miscommunication; not showing up for data collection; team member left the lab),NA,"Project management issue (e.g. disorganization, error in team management, lack of clear job responsibilities, lack of coordination, lack of supervision)",NA,1,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,YeHyd@acvOH
2023-01-28 14:12:30,2023-01-28 14:18:38,Survey Preview,100,368,True,2023-01-28 14:18:38,R_O1xLsWZE54xLoS5,anonymous,EN,Yes,it was the main reason,"Deviation from the protocol (e.g. not following protocol, recording data not according to protocol, using non-standard script, mistake in following protocol)",NA,"Inattention (e.g. accident, accidental mistakes, being distracted, copy and paste error, lapse of concentration)",NA,6 extreme stress,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,XdAZi@sjVIq,5Jl6i@xC63p
2023-01-30 22:12:30,2023-01-30 22:16:01,IP Address,100,211,True,2023-01-30 22:16:01,R_Bo5l7kIiKivg6pe,preview,EN,Yes,partially,"Ambiguous naming/defining of data (e.g. ambiguous naming, inconsistent identifier, incorrect labeling,  non- transparent naming, poor labeling of variables)",NA,"Overconfidence (e.g. being too ambitious, being too confident, failure to anticipate the difficulty of interpreting datafiles, overreliance, too high expectations)",NA,4,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,AnsYC@WgF2C,aTMHb@o6xA5
2023-01-08 14:12:30,2023-01-08 14:15:38,Survey Preview,100,188,True,2023-01-08 14:15:38,R_HKaXYFXmB2bYPVj,anonymous,EN,Yes,it was the main reason,"Ambiguous naming/defining of data (e.g. ambiguous naming, inconsistent identifier, incorrect labeling,  non- transparent naming, poor labeling of variables)",NA,"Lack of control (e.g. automatic thinking, inpatience, insufficient concentration, lack of discipline, not enough control) l",NA,no stress at all 0,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,rWeEi@UxuY4
2023-01-10 15:12:30,2023-01-10 15:17:23,Survey Preview,97,293,False,2023-01-10 15:17:23,R_qYPEgjegGISMRyr,preview,EN,Yes,it was the main reason,"Data input error (e.g. data entry error, error in recording data, failure to record responses, mistake in data recording, value input error)",NA,"Miscommunication (e.g. lack of communication, lack of consultation, misinformation, misinformed by third party, poor collaboration)",NA,no stress at all 0,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,1VdPs@6yG5N
2023-01-31 02:12:30,2023-01-31 02:17:30,Survey Preview,96,300,False,2023-01-31 02:17:30,R_YaJcHzjfedihNwH,anonymous,EN,Yes,partially,"Sharing confidential data (e.g. compromising participants’ anonimity, failure to anonymize participants, not anonymizing data, privacy breach, recording data without ethical permission)",NA,"Bad skill management (e.g. improper training, inadequate training, insufficient training, insufficient training of coders, lack of training)",NA,1,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,7aEi9@9GmQ3
2023-01-31 02:12:30,2023-01-31 02:16:10,Survey Preview,98,220,False,2023-01-31 02:16:10,R_p3dkGyd2Yj253L2,anonymous,EN,Yes,it was the main reason,"Participant allocation error (e.g. assigning participant to wrong group, error in randomization of the conditions, experimental condition incorrectly assigned, mistake in scheduling data collection, subject allocation mistake)",NA,"Time pressure (e.g. being in a rush, haste, insufficient time spent on the project, overworking, too big workload)",NA,NA,No,NA,NA,7TyoX@4SLgV
2023-01-27 06:12:30,2023-01-27 06:17:02,IP Address,100,272,True,2023-01-27 06:17:02,R_RvbjL0kgKWZOpEp,preview,EN,Yes,partially,Project management error (error in time management; miscommunication; not showing up for data collection; team member left the lab),NA,"Physical and/or mental constraints (e.g. confusion, distraction, erroneous reasoning, forgetfulness, mental error, stress)",NA,5,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,cUeZb@Zu3Pz,VXR5v@1PE6T
2023-01-19 07:12:30,2023-01-19 07:17:22,IP Address,97,292,False,2023-01-19 07:17:22,R_6ZnmHsRLi9hBLRI,anonymous,EN,Yes,it was the main reason,Project management error (error in time management; miscommunication; not showing up for data collection; team member left the lab),NA,Risking human error (e.g. experimenter error; lack of automatization; manual task handling instead of code; manually doing a task; multitasking),NA,6 extreme stress,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,jKvLa@ZzOkc,evMrI@S8of3
2023-01-08 10:12:30,2023-01-08 10:17:25,Survey Preview,100,295,True,2023-01-08 10:17:25,R_ubP7EcgZLbyOq2Q,anonymous,EN,Yes,partially,"Loss of materials/documentation/data (e.g. data loss, failure to backup, failure to save data, data archiving mistake, mistake in saving results)",NA,"Too high complexity (e.g. difficult task, difficulty in file management, lack of easy to use tools, too complex)",NA,NA,Yes,NA,NA,QOheP@JFftq
2023-01-21 08:12:30,2023-01-21 08:17:59,IP Address,98,329,False,2023-01-21 08:17:59,R_116wd9RPEgDphW3,preview,EN,No,it was the main reason,"Incorrect software or hardware settings (e.g. allowing missing data in survey, failure to calibrate data collector equipment, wrong settings in experimental program, wrong software settings)",NA,"Overconfidence (e.g. being too ambitious, being too confident, failure to anticipate the difficulty of interpreting datafiles, overreliance, too high expectations)",NA,3,No,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,O4p47@dJBOr
2023-01-15 20:12:30,2023-01-15 20:18:03,IP Address,100,333,True,2023-01-15 20:18:03,R_clNf1BjSRouuuvX,anonymous,EN,Yes,partially,"Sharing confidential data (e.g. compromising participants’ anonimity, failure to anonymize participants, not anonymizing data, privacy breach, recording data without ethical permission)",NA,"Carelessness (e.g. negligence, not following protocol, not taking the task seriously, lack of effort, lack of motivation)",NA,5,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,L0uxU@SauAm
2023-01-31 02:12:30,2023-01-31 02:14:17,Survey Preview,100,107,True,2023-01-31 02:14:17,R_d3PWfMOF9WnRkdt,preview,EN,Yes,it was the main reason,"Ambiguous naming/defining of data (e.g. ambiguous naming, inconsistent identifier, incorrect labeling,  non- transparent naming, poor labeling of variables)",NA,"Physical and/or mental constraints (e.g. confusion, distraction, erroneous reasoning, forgetfulness, mental error, stress)",NA,5,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,EZq8t@RtF53
2023-01-15 21:12:30,2023-01-15 21:18:56,Survey Preview,96,386,False,2023-01-15 21:18:56,R_NxivNmDUgSwL0D2,preview,EN,Yes,it was the main reason,"Deviation from the protocol (e.g. not following protocol, recording data not according to protocol, using non-standard script, mistake in following protocol)",NA,"Too high complexity (e.g. difficult task, difficulty in file management, lack of easy to use tools, too complex)",NA,NA,NA,NA,NA,yUqPU@BlIA2
2023-01-22 09:12:30,2023-01-22 09:17:31,IP Address,100,301,True,2023-01-22 09:17:31,R_L6jjes7Gsythvk6,preview,EN,Yes,it was the main reason,"Incorrect connection between data points (e.g. error in tracking status of participants, failure to connect participant to data, ID duplication, mistake in connecting participants to responses, unable to track recorded data)",NA,"Time pressure (e.g. being in a rush, haste, insufficient time spent on the project, overworking, too big workload)",NA,3,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,8AWo7@tZ9tF
2023-01-04 16:12:30,2023-01-04 16:16:22,Survey Preview,94,232,False,2023-01-04 16:16:22,R_XLiLkKHHCHGAAHV,anonymous,EN,Yes,it was the main reason,"Insufficient or incorrect documentation (e.g. lack of documentation, poor documentation, not recorded metadata, ambiguous value coding protocol, data logging mistake)",NA,"Bad skill management (e.g. improper training, inadequate training, insufficient training, insufficient training of coders, lack of training)",NA,3,Yes,facilisis blandit amet Fames Id ac? eu justo euismod sodales pretium vitae. blandit risus,NA,9lEIW@K9GLZ
2023-01-18 08:12:30,2023-01-18 08:15:45,IP Address,100,195,True,2023-01-18 08:15:45,R_MwZXjJpeDLWuzIJ,anonymous,EN,Yes,it was the main reason,"Version control error (e.g. failure to locate original data, overwriting data, overwriting files, using the wrong version of code, using the wrong version of data)",NA,NA,NA,NA,NA,NA,NA,ovp7e@g1vTG
